date_week,tv_spend,google_search_spend,tiktok_spend,promo,trend,yearly_seasonality,sales
2023-01-02,63.63066203240919,28.92941628387167,16.105096717314215,0,0.0,0.0,3431.6943498562546
2023-01-09,63.37635949694176,19.000833533040144,9.448936464430535,0,0.15503875968992248,1.2053668025532305,3785.898993465989
2023-01-16,66.9773944351332,28.09461004820268,5.959586253469423,1,0.31007751937984496,2.3931566428755775,4036.5195182378184
2023-01-23,62.68422679591982,27.86890007992836,15.51741434156153,0,0.46511627906976744,3.546048870425356,3894.7317497731165
2023-01-30,73.09928584119395,31.85735911701005,13.512895865446657,0,0.6201550387596899,4.647231720437685,4223.061805884846
2023-02-06,68.87776124762192,25.557382249447873,17.337543086866447,1,0.7751937984496124,5.680647467311558,4401.147528873329
2023-02-13,62.40870408196158,33.772308180361115,18.40781450488508,0,0.9302325581395349,6.631226582407952,4337.916603146613
2023-02-20,64.17051578360717,38.10172654255863,16.252965728234727,0,1.0852713178294573,7.485107481711011,4198.77954028762
2023-02-27,70.02097088327363,31.243434621347728,18.840532341503415,0,1.2403100775193798,8.229838658936563,4407.365715450733
2023-03-06,71.57993279243165,32.814051267193626,16.816845496460274,0,1.3953488372093024,8.8545602565321,4286.059073874371
2023-03-13,76.05527756774832,30.425242780622938,18.120258822405866,0,1.550387596899225,9.350162426854148,4312.14619399426
2023-03-20,79.08889814057876,30.000675144731314,13.281306948520472,1,1.7054263565891472,9.70941817426052,4719.975496591179
2023-03-27,64.82786742179728,24.22753573165722,15.481554344674166,0,1.8604651162790697,9.92708874098054,4181.134205553245
2023-04-03,55.85835551720348,32.53195409338647,17.08710438662783,0,2.0155038759689923,10.0,4158.147135142871
2023-04-10,48.0384640901639,29.221707212692085,19.682113901669673,0,2.1705426356589146,9.92708874098054,4187.762808936931
2023-04-17,57.803055613941005,46.74534647144476,14.925035311101711,0,2.3255813953488373,9.709418174260522,4331.109457971869
2023-04-24,50.071328692042734,42.58683921980194,18.684669022928453,0,2.4806201550387597,9.350162426854148,4129.147952620441
2023-05-01,49.670471042352546,33.08677242045201,15.636644832338483,0,2.635658914728682,8.8545602565321,4280.507333816222
2023-05-08,46.27251757606305,23.89554232244186,16.32983133068748,0,2.7906976744186047,8.229838658936565,4060.8704340369836
2023-05-15,46.22451770643048,21.100708224132656,20.21807616809629,0,2.945736434108527,7.4851074817110135,4163.802314336745
2023-05-22,49.898633652299814,39.52914362471092,9.027758515783376,0,3.10077519379845,6.631226582407952,3840.038366872533
2023-05-29,43.07343580576072,32.10199380117711,11.914110687700958,0,3.255813953488372,5.680647467311558,3953.503366038935
2023-06-05,39.3269347655088,33.841147227132886,11.271258410228716,1,3.4108527131782944,4.6472317204376905,4116.172548382033
2023-06-12,32.91782722781731,16.043312104206457,7.965535520606782,1,3.565891472868217,3.5460488704253583,3973.0101464979343
2023-06-19,27.872254035363504,37.41950785246544,14.686942239379292,0,3.7209302325581395,2.393156642875577,3848.14536645818
2023-06-26,32.16427110200962,33.635362705714904,20.49773559891096,0,3.875968992248062,1.2053668025532307,3830.5864525971465
2023-07-03,32.90166754975047,21.116554524684176,16.460463734469702,0,4.0310077519379846,-3.216245299353273e-15,3702.2376499708853
2023-07-10,40.830410363930035,26.227801540400407,18.491160327767407,0,4.186046511627907,-1.2053668025532283,3749.7396266890387
2023-07-17,31.724929156452394,32.10973763485216,22.15686998684317,0,4.341085271317829,-2.3931566428755744,3808.8972603594652
2023-07-24,35.34604002141392,30.41973438684995,23.210744529070766,0,4.496124031007752,-3.546048870425356,3692.0470913271265
2023-07-31,27.579990900182302,27.66263051357156,17.72344826109544,0,4.651162790697675,-4.647231720437681,3747.288286413456
2023-08-07,24.086406434799095,29.172093855472312,23.51434355827759,1,4.8062015503875966,-5.680647467311556,4001.097084750503
2023-08-14,25.411680634363265,27.984180974344916,18.568506633736437,0,4.961240310077519,-6.631226582407949,3599.7114378539045
2023-08-21,27.125458487676344,31.220500096819748,14.950407104690152,0,5.116279069767442,-7.485107481711011,3586.68983855306
2023-08-28,42.18894701615317,41.77193578394525,16.022398591205057,0,5.271317829457364,-8.229838658936563,3713.445528400577
